Fernando Alonso,53,4.1,1,5.9,3.6
Kimi Räikkönen,40,4,1,7,4.8
Lewis Hamilton,37,3.1,1,7.3,5.1
Max Verstappen,30,3.9,1,7.3,5.3
Jenson Button,28,4.4,1,6.5,4.2
Sebastian Vettel,25,4,1,7.4,4.9
Sergio Pérez,22,4,1,7.1,4.6
Daniel Ricciardo,19,3.8,1,5.4,3.1
Valtteri Bottas,18,4.2,2,6.4,3.8
Rubens Barrichello,12,4.7,1,8.9,6.5
Mark Webber,11,4,1,5.7,3.1
Carlos Sainz,10,6.6,2,7.1,4.2
Felipe Massa,10,4.8,2,6,3.2
Nick Heidfeld,9,5.4,2,7.2,4.9
Lando Norris,8,4.6,1,5.8,3.4
Romain Grosjean,7,8.3,3,8.6,5.7
George Russell,7,4,2,6.1,3.3
Michael Schumacher,7,1.9,1,7.3,5.7
Robert Kubica,7,6.6,4,7,4.7
Juan Pablo Montoya,5,3.2,1,7.8,5.4
