Finnish,9,57,245,4388.5,487.61,6.33
German,50,179,415,7972.5,159.45,3.58
Dutch,18,61,109,2773.5,154.08,3.39
Brazilian,32,101,293,3423,106.97,3.16
Austrian,15,41,118,990.5,66.03,2.73
Australian,18,43,134,3034.5,168.58,2.39
Spanish,15,35,131,3461.5,230.77,2.33
British,166,312,763,11497.64,69.26,1.88
Argentine,24,38,98,698.92,29.12,1.58
Mexican,6,8,46,1646,274.33,1.33
Canadian,14,17,39,636,45.43,1.21
Swedish,10,12,44,396,39.6,1.2
New Zealander,10,12,71,543.5,54.35,1.2
French,73,81,310,3582.33,49.07,1.11
Belgian,23,11,45,388,16.87,0.48
Italian,99,43,207,2040.66,20.61,0.43
South African,23,10,36,282,12.26,0.43
Swiss,23,7,36,348,15.13,0.3
American,158,33,129,999,6.32,0.21
Japanese,20,0,3,286,14.3,0
