Autódromo Hermanos Rodríguez,Mexico,2227,23,48,411,76.39
Kyalami,South Africa,1460,20,53,418,82.61
Autódromo Internacional Nelson Piquet,Brazil,1126,10,35,242,84.62
Charade Circuit,France,790,4,29,52,66.67
Autódromo José Carlos Pace,Brazil,785,40,49,653,71.21
Red Bull Ring,Austria,678,38,45,670,74.36
Zeltweg,Austria,676,1,62,18,90
Las Vegas Strip Street Circuit,United States,642,1,47,3,15
Las Vegas Street Circuit,USA,639,2,41,48,80
Jarama,Spain,609,9,49,198,83.9
Fuji Speedway,Japan,583,4,50,64,70.33
Nürburgring,Germany,578,41,27,659,67.52
Circuit Bremgarten,Switzerland,551,5,36,88,88
Watkins Glen,USA,485,20,52,405,83.51
Dijon-Prenois,France,484,6,52,142,83.04
Riverside International Raceway,USA,470,1,55,20,86.96
Circuit Paul Ricard,France,432,18,43,348,72.35
Circuit de Spa-Francorchamps,Belgium,401,56,29,795,64.22
Phoenix street circuit,USA,345,3,36,96,88.89
Mosport International Raceway,Canada,332,8,56,163,82.32
Okayama International Circuit,Japan,266,2,58,47,90.38
Hungaroring,Hungary,264,38,56,643,72.17
Autodromo Internazionale del Mugello,Italy,255,1,39,8,40
Circuit de Nevers Magny-Cours,France,228,18,53,312,74.29
Indianapolis Motor Speedway,USA,223,19,115,404,70.51
Circuit Mont-Tremblant,Canada,214,2,60,37,90.24
Buddh International Circuit,India,194,3,54,37,52.86
Detroit Street Circuit,USA,177,7,36,162,84.82
Autodromo Nazionale di Monza,Italy,162,73,38,1319,72.63
Circuit of the Americas,USA,161,11,49,110,48.67
Monsanto Park Circuit,Portugal,158,1,42,15,93.75
Scandinavian Raceway,Sweden,153,6,53,124,77.99
Silverstone Circuit,UK,153,59,46,1033,71.94
Brands Hatch,UK,145,14,47,325,86.9
Fair Park,USA,139,1,41,24,92.31
Nivelles-Baulers,Belgium,139,2,65,47,82.46
Autódromo do Estoril,Portugal,130,13,47,309,84.2
Istanbul Park,Turkey,130,9,53,98,51.04
Pescara Circuit,Italy,129,1,10,12,75
Circuit de Barcelona-Catalunya,Spain,109,34,52,535,70.49
Autódromo Internacional do Algarve,Portugal,108,2,63,25,62.5
Hockenheimring,Germany,103,37,36,671,71.76
Donington Park,UK,88,1,45,24,92.31
Reims-Gueux,France,88,11,35,208,81.89
Circuit de Pedralbes,Spain,85,2,46,38,88.37
Rouen-Les-Essarts,France,81,5,43,82,87.23
Montjuïc,Spain,79,4,43,73,86.9
Le Mans,France,67,1,50,13,86.67
Adelaide Street Circuit,Australia,58,11,43,268,85.9
AVUS,Germany,53,1,35,12,80
Suzuka Circuit,Japan,45,34,40,497,62.83
Autodromo Enzo e Dino Ferrari,Italy,37,31,41,615,79.35
Circuito de Jerez,Spain,37,7,44,164,80.39
Zolder,Belgium,36,10,40,237,84.04
Circuito da Boavista,Portugal,28,2,39,24,80
Aintree,UK,20,5,50,118,85.51
Ain Diab,Morocco,19,1,41,20,80
Marina Bay Street Circuit,Singapore,18,14,53,124,41.61
Sebring International Raceway,USA,18,1,21,15,78.95
Sepang International Circuit,Malaysia,18,19,44,248,60.19
Jeddah Corniche Circuit,Saudi Arabia,15,4,44,27,33.75
Prince George Circuit,South Africa,15,3,50,65,86.67
Circuit Gilles Villeneuve,Canada,13,43,49,767,72.91
Long Beach,USA,12,8,43,185,84.09
Losail International Circuit,Qatar,12,2,53,19,47.5
Albert Park Grand Prix Circuit,Australia,10,27,43,353,61.18
Autódromo Juan y Oscar Gálvez,Argentina,8,20,50,352,78.57
Bahrain International Circuit,Bahrain,7,21,52,210,47.73
Circuit de Monaco,Monaco,7,70,49,1317,79.15
Circuit Park Zandvoort,Netherlands,6,33,51,598,80.05
Shanghai International Circuit,China,5,17,50,156,43.09
Valencia Street Circuit,Spain,4,5,53,48,42.86
Yas Marina Circuit,UAE,3,15,51,140,44.3
Sochi Autodrom,Russia,2,8,46,83,50.92
Korean International Circuit,Korea,0,4,49,38,40.43
Miami International Autodrome,USA,0,3,55,8,13.33
Baku City Circuit,Azerbaijan,-7,7,45,55,38.73
