2020s,Max Verstappen,53,76,95
2020s,Lewis Hamilton,20,48,94
2020s,Sergio Pérez,6,31,93
2010s,Lewis Hamilton,73,124,198
2010s,Sebastian Vettel,48,111,198
2010s,Nico Rosberg,23,55,136
2010s,Fernando Alonso,11,44,174
2010s,Max Verstappen,8,31,102
2010s,Jenson Button,8,26,137
2010s,Mark Webber,7,32,77
2010s,Valtteri Bottas,7,45,140
2010s,Daniel Ricciardo,7,29,171
2000s,Michael Schumacher,56,83,122
2000s,Fernando Alonso,21,53,140
2000s,Kimi Räikkönen,18,62,157
2000s,Felipe Massa,11,28,116
2000s,Rubens Barrichello,11,62,174
2000s,Lewis Hamilton,11,27,52
2000s,David Coulthard,7,32,157
2000s,Juan Pablo Montoya,7,30,95
2000s,Jenson Button,7,24,172
2000s,Ralf Schumacher,6,21,131
2000s,Mika Häkkinen,6,14,34
2000s,Sebastian Vettel,5,9,43
1990s,Michael Schumacher,35,71,128
1990s,Damon Hill,22,42,122
1990s,Ayrton Senna,21,37,67
1990s,Nigel Mansell,16,27,54
1990s,Mika Häkkinen,14,37,131
1990s,Alain Prost,12,26,47
1990s,Jacques Villeneuve,11,21,65
1990s,David Coulthard,6,30,90
1990s,Gerhard Berger,5,35,127
1980s,Alain Prost,39,80,155
1980s,Ayrton Senna,20,43,95
1980s,Nelson Piquet,20,53,155
1980s,Nigel Mansell,15,32,138
1980s,Niki Lauda,8,15,59
1980s,Alan Jones,7,16,50
1980s,René Arnoux,7,19,140
1980s,Gerhard Berger,5,13,83
1980s,Michele Alboreto,5,23,137
1980s,Keke Rosberg,5,17,106
1970s,Niki Lauda,17,39,115
1970s,Jackie Stewart,16,24,50
1970s,Emerson Fittipaldi,14,34,135
1970s,Mario Andretti,12,18,93
1970s,Jody Scheckter,10,33,99
1970s,James Hunt,10,23,93
1970s,Ronnie Peterson,10,26,123
1970s,Carlos Reutemann,9,29,115
1970s,Jochen Rindt,5,5,10
1970s,Jacky Ickx,5,16,97
1970s,Clay Regazzoni,5,28,134
1970s,Alan Jones,5,8,67
1960s,Jim Clark,25,32,72
1960s,Graham Hill,14,36,97
1960s,Jackie Stewart,11,19,50
1960s,Jack Brabham,11,22,91
1960s,John Surtees,6,24,89
1960s,Denny Hulme,5,17,49
1950s,Juan Fangio,24,35,51
1950s,Alberto Ascari,13,17,32
1950s,Stirling Moss,12,19,53
1950s,Tony Brooks,6,9,24
1950s,Nino Farina,5,20,34
