2023,Max Verstappen,Dutch,575.00,19
2022,Max Verstappen,Dutch,454.00,15
2021,Max Verstappen,Dutch,395.50,10
2020,Lewis Hamilton,British,347.00,11
2019,Lewis Hamilton,British,413.00,11
2018,Lewis Hamilton,British,408.00,11
2017,Lewis Hamilton,British,363.00,9
2016,Nico Rosberg,German,385.00,9
2015,Lewis Hamilton,British,381.00,10
2014,Lewis Hamilton,British,384.00,11
2013,Sebastian Vettel,German,397.00,13
2012,Sebastian Vettel,German,281.00,5
2011,Sebastian Vettel,German,392.00,11
2010,Sebastian Vettel,German,256.00,5
2009,Jenson Button,British,95.00,6
2008,Lewis Hamilton,British,98.00,5
2007,Kimi Räikkönen,Finnish,110.00,6
2006,Fernando Alonso,Spanish,134.00,7
2005,Fernando Alonso,Spanish,133.00,7
2004,Michael Schumacher,German,148.00,13
2003,Michael Schumacher,German,93.00,6
2002,Michael Schumacher,German,144.00,11
2001,Michael Schumacher,German,123.00,9
2000,Michael Schumacher,German,108.00,9
1999,Mika Häkkinen,Finnish,76.00,5
1998,Mika Häkkinen,Finnish,100.00,8
1997,Jacques Villeneuve,Canadian,81.00,7
1996,Damon Hill,British,97.00,8
1995,Michael Schumacher,German,102.00,9
1994,Michael Schumacher,German,92.00,8
1993,Alain Prost,French,99.00,7
1992,Nigel Mansell,British,108.00,9
1991,Ayrton Senna,Brazilian,96.00,7
1990,Ayrton Senna,Brazilian,78.00,6
1989,Alain Prost,French,76.00,4
1988,Ayrton Senna,Brazilian,90.00,8
1987,Nelson Piquet,Brazilian,73.00,3
1986,Alain Prost,French,72.00,4
1985,Alain Prost,French,73.00,5
1984,Niki Lauda,Austrian,72.00,5
1983,Nelson Piquet,Brazilian,59.00,3
1982,Keke Rosberg,Finnish,44.00,1
1981,Nelson Piquet,Brazilian,50.00,3
1980,Alan Jones,Australian,67.00,5
1979,Jody Scheckter,South African,51.00,3
1978,Mario Andretti,American,64.00,6
1977,Niki Lauda,Austrian,72.00,3
1976,James Hunt,British,69.00,6
1975,Niki Lauda,Austrian,64.50,5
1974,Emerson Fittipaldi,Brazilian,55.00,3
1973,Jackie Stewart,British,71.00,5
1972,Emerson Fittipaldi,Brazilian,61.00,5
1971,Jackie Stewart,British,62.00,6
1970,Jochen Rindt,Austrian,45.00,5
1969,Jackie Stewart,British,63.00,6
1968,Graham Hill,British,48.00,3
1967,Denny Hulme,New Zealander,51.00,2
1966,Jack Brabham,Australian,42.00,4
1965,Jim Clark,British,54.00,6
1964,John Surtees,British,40.00,2
1963,Jim Clark,British,54.00,7
1962,Graham Hill,British,42.00,4
1961,Phil Hill,American,34.00,2
1960,Jack Brabham,Australian,43.00,5
1959,Jack Brabham,Australian,31.00,2
1958,Mike Hawthorn,British,42.00,1
1957,Juan Fangio,Argentine,40.00,4
1956,Juan Fangio,Argentine,30.00,3
1955,Juan Fangio,Argentine,40.00,4
1954,Juan Fangio,Argentine,42.00,6
1953,Alberto Ascari,Italian,34.50,5
1952,Alberto Ascari,Italian,36.00,6
1951,Juan Fangio,Argentine,31.00,3
1950,Nino Farina,Italian,30.00,3
