Ferrari,Italian,246,829,10772.27,1088,1950,2024
McLaren,British,180,496,6687.5,917,1968,2024
Mercedes,German,127,293,7502.64,305,1954,2024
Red Bull,Austrian,120,277,7472,382,2005,2024
Williams,British,114,313,3628,831,1975,2024
Team Lotus,British,45,114,995,395,1958,1994
Renault,French,35,103,1777,403,1977,2020
Benetton,Italian,27,102,861.5,260,1986,2001
Brabham,British,23,78,631,308,1962,1992
Tyrrell,British,23,77,711,433,1970,1998
Lotus-Climax,British,22,31,281,56,1961,1967
BRM,British,17,61,537.5,208,1951,1977
Cooper-Climax,British,12,44,336.5,67,1959,1968
Lotus-Ford,British,11,25,209,44,1963,1971
Alfa Romeo,Swiss,11,28,361,216,1950,2023
Vanwall,British,10,14,108,29,1954,1960
Ligier,French,9,50,388,330,1976,1996
Matra-Ford,French,9,15,130,23,1968,1969
Maserati,Italian,9,40,313.14,73,1950,1960
Brawn,British,8,15,172,17,2009,2009
