Circuit Park Zandvoort,Netherlands,3.1,4,67.81,3
Autodromo Internazionale del Mugello,Italy,2.9,3,65.26,1
Hockenheimring,Germany,2.8,3,57.43,5
Autódromo José Carlos Pace,Brazil,2.7,3,62.27,12
Sepang International Circuit,Malaysia,2.6,3,66.89,7
Circuit de Barcelona-Catalunya,Spain,2.4,2,52.85,14
Marina Bay Street Circuit,Singapore,2.4,2,72.32,11
Valencia Street Circuit,Spain,2.4,2,53.29,2
Bahrain International Circuit,Bahrain,2.4,2,60.98,14
Shanghai International Circuit,China,2.4,2,55.39,10
Hungaroring,Hungary,2.3,2,52.55,13
Losail International Circuit,Qatar,2.2,3,62.52,2
Autódromo Internacional do Algarve,Portugal,2.2,3,54.89,2
Istanbul Park,Turkey,2.2,1,53.17,3
Nürburgring,Germany,2.2,2,48.94,3
Korean International Circuit,Korea,2.1,2,46.55,3
Circuit de Spa-Francorchamps,Belgium,2,2,46.35,12
Suzuka Circuit,Japan,2,2,47.98,12
Red Bull Ring,Austria,1.9,1,42.13,13
Silverstone Circuit,UK,1.8,2,52.43,15
Circuit of the Americas,USA,1.8,2,44.24,11
Buddh International Circuit,India,1.8,2,42.53,3
Circuit Gilles Villeneuve,Canada,1.8,2,43.34,12
Baku City Circuit,Azerbaijan,1.8,1,37.67,7
Albert Park Grand Prix Circuit,Australia,1.7,1,38.37,12
Las Vegas Strip Street Circuit,United States,1.6,2,38.45,1
Yas Marina Circuit,UAE,1.6,2,36.59,13
Circuit de Monaco,Monaco,1.5,1,41.06,13
Autodromo Enzo e Dino Ferrari,Italy,1.5,1,49.88,4
Autodromo Nazionale di Monza,Italy,1.4,1,33.9,13
Autódromo Hermanos Rodríguez,Mexico,1.4,1,33,8
Sochi Autodrom,Russia,1.3,1,41.45,8
Circuit Paul Ricard,France,1.2,1,37.81,4
Miami International Autodrome,USA,1.2,1,27.73,3
Jeddah Corniche Circuit,Saudi Arabia,1.1,1,25.34,4
