Lewis Hamilton,"Abu Dhabi Grand Prix, Australian Grand Prix, Austrian Grand Prix, Azerbaijan Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, Eifel Grand Prix, Emilia Romagna Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Malaysian Grand Prix, Mexican Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, Qatar Grand Prix, Russian Grand Prix, São Paulo Grand Prix, Saudi Arabian Grand Prix, Singapore Grand Prix, Spanish Grand Prix, Styrian Grand Prix, Turkish Grand Prix, Tuscan Grand Prix, United States Grand Prix",31,Sí
Max Verstappen,"70th Anniversary Grand Prix, Abu Dhabi Grand Prix, Australian Grand Prix, Austrian Grand Prix, Azerbaijan Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, Dutch Grand Prix, Emilia Romagna Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Las Vegas Grand Prix, Malaysian Grand Prix, Mexican Grand Prix, Mexico City Grand Prix, Miami Grand Prix, Monaco Grand Prix, Qatar Grand Prix, São Paulo Grand Prix, Saudi Arabian Grand Prix, Spanish Grand Prix, Styrian Grand Prix, United States Grand Prix",30,Sí
Michael Schumacher,"Argentine Grand Prix, Australian Grand Prix, Austrian Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Malaysian Grand Prix, Monaco Grand Prix, Pacific Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, Spanish Grand Prix, United States Grand Prix",22,Sí
Sebastian Vettel,"Abu Dhabi Grand Prix, Australian Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, European Grand Prix, German Grand Prix, Hungarian Grand Prix, Indian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Korean Grand Prix, Malaysian Grand Prix, Monaco Grand Prix, Singapore Grand Prix, Spanish Grand Prix, Turkish Grand Prix, United States Grand Prix",21,Sí
Alain Prost,"Australian Grand Prix, Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Dutch Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Mexican Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, South African Grand Prix, Spanish Grand Prix, United States Grand Prix",18,Sí
Fernando Alonso,"Australian Grand Prix, Bahrain Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Korean Grand Prix, Malaysian Grand Prix, Monaco Grand Prix, San Marino Grand Prix, Singapore Grand Prix, Spanish Grand Prix",17,Sí
Nico Rosberg,"Abu Dhabi Grand Prix, Australian Grand Prix, Austrian Grand Prix, Bahrain Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Chinese Grand Prix, European Grand Prix, German Grand Prix, Italian Grand Prix, Japanese Grand Prix, Mexican Grand Prix, Monaco Grand Prix, Russian Grand Prix, Singapore Grand Prix, Spanish Grand Prix",17,Sí
Ayrton Senna,"Australian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Detroit Grand Prix, European Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Mexican Grand Prix, Monaco Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, Spanish Grand Prix, United States Grand Prix",17,Sí
Nigel Mansell,"Australian Grand Prix, Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Mexican Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, South African Grand Prix, Spanish Grand Prix",16,Sí
Kimi Räikkönen,"Abu Dhabi Grand Prix, Australian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, Chinese Grand Prix, French Grand Prix, Hungarian Grand Prix, Japanese Grand Prix, Malaysian Grand Prix, Monaco Grand Prix, Spanish Grand Prix, Turkish Grand Prix, United States Grand Prix",15,Sí
Nelson Piquet,"Argentine Grand Prix, Australian Grand Prix, Brazilian Grand Prix, Canadian Grand Prix, Detroit Grand Prix, Dutch Grand Prix, European Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, San Marino Grand Prix, United States Grand Prix West",14,Sí
Mika Häkkinen,"Australian Grand Prix, Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, European Grand Prix, German Grand Prix, Hungarian Grand Prix, Japanese Grand Prix, Luxembourg Grand Prix, Monaco Grand Prix, Spanish Grand Prix, United States Grand Prix",14,Sí
Damon Hill,"Argentine Grand Prix, Australian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Canadian Grand Prix, French Grand Prix, German Grand Prix, Hungarian Grand Prix, Italian Grand Prix, Japanese Grand Prix, Portuguese Grand Prix, San Marino Grand Prix, Spanish Grand Prix",14,Sí
Niki Lauda,"Austrian Grand Prix, Belgian Grand Prix, Brazilian Grand Prix, British Grand Prix, Dutch Grand Prix, French Grand Prix, German Grand Prix, Italian Grand Prix, Monaco Grand Prix, South African Grand Prix, Spanish Grand Prix, Swedish Grand Prix, United States Grand Prix, United States Grand Prix West",14,Sí
